[2026-02-08--20-56-23 INFO actix_server::builder] starting 5 workers
[2026-02-08--20-56-23 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-02-08--20-56-23 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-02-08--20-56-39 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-02-08--20-57-25 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38014.
[2026-02-08--20-59-26 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51702.
[2026-02-08--20-59-29 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51716.
[2026-02-08--20-59-29 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51724.
[2026-02-08--20-59-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40198.
[2026-02-08--20-59-33 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40202.
[2026-02-08--20-59-34 ERROR litesvm] Program account 3HPqycH2L1gfsB5tT86EcAf2SuyZFqZ26q1i4PFmTsRG is not executable.
[2026-02-08--20-59-34 ERROR litesvm] Program account 3HPqycH2L1gfsB5tT86EcAf2SuyZFqZ26q1i4PFmTsRG is not executable.
[2026-02-08--20-59-36 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40218.
[2026-02-08--20-59-38 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40230.
[2026-02-08--21-01-36 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50848.
[2026-02-08--21-02-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35894.
[2026-02-08--21-03-12 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52238.
[2026-02-08--21-03-15 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52240.
[2026-02-08--21-03-16 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52254.
[2026-02-08--21-03-18 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52256.
[2026-02-08--21-03-20 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52266.
[2026-02-08--21-03-22 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43542.
[2026-02-08--21-03-24 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43556.
[2026-02-08--21-06-40 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40996.
[2026-02-08--21-07-34 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58960.
[2026-02-08--21-08-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37038.
[2026-02-08--21-08-06 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37050.
[2026-02-08--21-08-07 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37064.
[2026-02-08--21-08-08 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37072.
[2026-02-08--21-08-09 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37088.
[2026-02-08--21-08-09 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37098.
[2026-02-08--21-08-11 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39802.
[2026-02-08--21-10-27 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54302.
[2026-02-08--21-10-29 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54314.
[2026-02-08--21-10-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33876.
[2026-02-08--21-10-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33878.
[2026-02-08--21-10-34 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33894.
[2026-02-08--21-11-56 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57108.
[2026-02-08--21-13-00 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51996.
[2026-02-08--21-13-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41566.
[2026-02-08--21-13-34 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41576.
[2026-02-08--21-13-39 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41578.
[2026-02-08--21-13-41 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42978.
[2026-02-08--21-13-43 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42988.
